yday,predicted_mean_temp,station,mean_temp,mean_do,mean_salinity,diff
39,7.390394269587672,QU39,6.909516948240341,6.858477524397644,27.878843811479342,neg
49,7.412540691414415,QU39,7.677402198362779,5.769080807258424,28.592564977061333,pos
55,7.473204603229546,QU39,7.827436488065329,5.490827466911576,28.918555498312596,pos
62,7.591111824474904,QU39,7.627496921136325,6.9165436315235915,28.73576908583193,pos
67,7.7074543816626395,QU39,7.682508684975308,6.823771756039702,28.78553641636296,neg
74,7.910398767660915,QU39,7.99194,5.73973,29.01617,pos
83,8.230052622968943,QU39,7.9542399999999995,6.1194733333333335,28.865753333333334,neg
88,8.435373336070338,QU39,8.20412,5.963073333333333,28.800023333333332,neg
89,8.480304165229237,QU39,8.273087758428218,5.907629262737787,28.810724482186497,neg
97,8.87533651021511,QU39,8.483066666666666,6.196433333333333,28.798136666666668,neg
103,9.193500939188922,QU39,8.536936666666666,6.090713333333333,28.826043333333335,neg
111,9.638899515782404,QU39,8.692903333333334,6.7067733333333335,28.96231,neg
116,9.955977244222751,QU39,9.141806666666668,7.439703333333333,28.750333333333334,neg
123,10.403827413703835,QU39,9.705326666666666,7.60009,28.784413333333333,neg
130,10.802645578267413,QU39,9.831153333333333,6.297056666666666,28.89164,neg
137,11.218654303371386,QU39,10.281866666666666,6.8672466666666665,28.643203333333332,neg
144,11.603776037992644,QU39,10.629466666666668,6.443616666666666,28.743936666666666,neg
151,11.857159841088691,QU39,11.559286666666667,6.528483333333333,28.297973333333335,neg
158,11.970957296477764,QU39,12.868536666666667,6.13465,27.583933333333334,pos
37,7.397667616613018,QU39,7.397667616613018,NA,NA,NA
40,7.388211588543268,QU39,7.388211588543268,NA,NA,NA
45.5,7.393633037413911,QU39,7.393633037413911,NA,NA,NA
144,11.603776037992644,QU39,11.603776037992644,NA,NA,NA
169.5,12.084750658670302,QU39,12.084750658670302,NA,NA,NA
176,12.1736627937274,QU39,12.1736627937274,NA,NA,NA
183,12.239079437830087,QU39,12.239079437830087,NA,NA,NA
197.5,12.329782242507948,QU39,12.329782242507948,NA,NA,NA
