station,yday,mean_temp,mean_do,mean_salinity
QU39,39,6.88244821829806,6.870840793852781,27.848038606907732
QU39,49,7.6365104530061725,5.662427932807801,28.535751785231508
QU39,55,7.778336855456789,5.532444226370363,28.8436961658398
QU39,62,7.6252971870740724,6.91825061353622,28.731787265742515
QU39,67,7.67737311237037,6.722481913451446,28.77455532024384
QU39,74,7.99194,5.73973,29.01617
QU39,83,7.9542399999999995,6.1194733333333335,28.865753333333334
QU39,88,8.20412,5.963073333333333,28.800023333333332
QU39,89,8.272505717222222,5.904856681588552,28.78966555132104
QU39,97,8.483066666666666,6.196433333333333,28.798136666666668
QU39,103,8.536936666666666,6.090713333333333,28.826043333333335
QU39,111,8.692903333333334,6.7067733333333335,28.96231
QU39,116,9.141806666666668,7.439703333333333,28.750333333333334
QU39,123,9.705326666666666,7.60009,28.784413333333333
QU39,130,9.831153333333333,6.297056666666666,28.89164
QU39,137,10.281866666666666,6.8672466666666665,28.643203333333332
QU39,144,10.629466666666668,6.443616666666666,28.743936666666666
QU39,151,11.559286666666667,6.528483333333333,28.297973333333335
QU39,158,12.868536666666667,6.13465,27.583933333333334
QU39,166,10.902566666666667,4.692643333333334,28.05689
QU39,173,14.225026666666666,6.115076666666667,25.756173333333333
QU39,187,14.187996666666667,5.215316666666666,25.89396
QU39,193,12.393613333333333,4.56447,26.624536666666668
QU39,200,13.31715,5.072986666666667,26.155623333333335
QU39,207,10.643316666666667,4.204553333333333,27.83502
