yday,predicted_mean_temp,station,mean_temp,mean_do,mean_salinity,diff
35,7.727168080562551,QU39,7.57545,6.524815,28.248501666666666,neg
39,7.539652646932208,QU39,7.1302125,6.59455,27.658606250000002,neg
41,7.461979267586098,QU39,7.692518333333333,5.679333333333333,28.662865,pos
50,7.24512822274374,QU39,7.326774576271187,6.09761186440678,28.780016949152543,pos
54,7.2161835705531425,QU39,6.918161666666666,6.956648333333334,28.403261666666666,neg
68,7.500080935971437,QU39,7.31024,6.781621666666666,28.732828333333334,neg
75,7.928359106223286,QU39,7.341186885245902,6.840106557377049,28.78031475409836,neg
85,8.62377313675729,QU39,7.6184032786885245,7.799875409836066,28.734554098360658,neg
89,8.814888972634117,QU39,7.834553333333333,7.531321666666667,28.96291,neg
95,9.009897871618584,QU39,8.272601666666667,7.656885,29.154305,neg
104,9.276285678084447,QU39,8.713639344262296,7.6059065573770495,29.327303278688525,neg
109,9.466266835144872,QU39,9.039338333333333,7.571635,29.305948333333333,neg
116,9.766299843573147,QU39,9.218471666666666,5.81415,29.601496666666666,neg
124,10.344649228482629,QU39,10.20398,6.840298333333333,29.291976666666667,neg
139,11.683707180937224,QU39,10.120489041294078,43.857461276823486,29.559557516945077,neg
140,11.746428740696867,QU39,10.077218591808592,5.07081809446913,29.566095606986902,neg
148,12.179141905279472,QU39,12.85435,6.957933333333333,27.398006666666667,pos
40,7.499474015124985,QU39,7.499474015124985,NA,NA,NA
52,7.225474728888722,QU39,7.225474728888722,NA,NA,NA
144,11.999329419277736,QU39,11.999329419277736,NA,NA,NA
