station,yday,mean_temp,mean_do,mean_salinity
QU39,39,7.17713408161335,6.205076090232517,28.995673211931912
QU39,46,7.105419868904131,6.150214000840478,29.084015497355498
QU39,54,7.507260875246598,5.143682500043635,29.546852606313294
QU39,59,6.763571144915047,5.850606605418957,29.264575253762107
QU39,67,6.877423249017223,6.098228000505384,29.327963388646886
QU39,72,7.23788661841155,5.913643754753193,29.470799137843382
QU39,80,7.321475462306928,6.295383431735924,29.413896139575048
QU39,89,7.861971530770352,7.177491276645348,29.517178718915655
QU39,94,8.064683070282964,6.8120834383173365,29.56954431519665
QU39,101,8.218043291559425,6.391065067128008,29.646871595387175
QU39,111,8.281331714686747,6.108776435288474,29.68251539529376
QU39,115,8.590890078215017,6.158088153166762,29.614697558877005
QU39,122,9.324851888389183,5.910603984031201,29.596373472059256
QU39,129,10.356565286870953,6.557871785268664,29.483237799274995
QU39,136,12.18499463332943,7.3755636850062585,28.73432383926013
QU39,143,10.280216887746924,4.841261280031066,29.30359759830545
QU39,150,9.866507270252901,4.556031290688183,29.42479418072979
QU39,157,10.072997716458637,4.598589738716035,29.298008433624403
QU39,166,9.565934263532883,4.019508118944506,29.437821500202567
QU39,171,11.57291992117277,6.1771115101457434,28.874015737632035
QU39,178,14.161075179286183,6.098904457805339,27.9276563810307
QU39,185,10.45411671985837,4.215154965280945,29.143438636606117
QU39,192,14.158291991961892,5.915580093176777,28.218303187832092
QU39,199,14.34102810730239,5.273099767232322,28.16701643372319
QU39,207,16.134607957142858,5.35620501589931,27.8246851803014
