station,yday,mean_temp,mean_do,mean_salinity
QU39,36,7.949573770491803,4.881313114754098,29.174637704918034
QU39,43,6.950230508474577,5.779959322033898,28.961106779661016
QU39,52,6.830225,5.99567,28.958153333333332
QU39,57,6.9552327868852455,6.080790163934426,29.026811475409836
QU39,64,6.859995081967213,6.083514754098361,29.202390163934428
QU39,71,7.310115254237288,6.527276271186441,29.247474576271188
QU39,79,7.58594,6.409016666666666,29.349781666666665
QU39,86,8.275434426229507,7.449996721311475,29.304934426229508
QU39,92,8.549074576271186,6.308681355932204,29.54473898305085
QU39,100,9.119372131147541,6.524040983606557,29.39995737704918
QU39,107,9.356673333333333,6.152213333333333,29.451405
QU39,122,9.872537931034483,4.20268275862069,29.56521379310345
QU39,129,9.678816666666666,4.444153333333333,30.016003333333334
QU39,142,12.53368,3.2077066666666667,29.3735
QU39,149,11.190633333333333,4.063036666666667,29.309633333333334
QU39,155,11.835286666666667,3.8247733333333334,29.09936666666667
