station,date,yday,mean_temp,mean_do,mean_salinity
QU39,2015-03-18,77,9.025218032786885,6.653239344262295,28.107380327868853
QU39,2015-03-24,83,9.15739,6.710928333333333,26.299785
QU39,2015-03-26,85,9.247449152542373,6.59835593220339,28.068
QU39,2015-03-31,90,9.487213114754098,6.371386885245902,27.994954098360655
QU39,2015-04-06,96,9.567544262295081,6.4061360655737705,27.77231475409836
QU39,2015-04-14,104,9.897126666666667,7.202801666666667,25.93089
QU39,2015-04-15,105,9.886226666666667,7.220811666666667,27.646921666666668
QU39,2015-04-22,112,9.744234426229507,5.600762295081967,28.497068852459016
QU39,2015-05-01,121,10.475611475409837,7.2672803278688525,28.010652459016395
QU39,2015-05-05,125,10.714698333333333,7.148345,28.034863333333334
QU39,2015-05-11,131,11.275898360655738,6.693091803278689,28.058190163934427
QU39,2015-05-12,132,10.734044262295082,6.186362295081968,28.421490163934426
QU39,2015-05-13,133,10.874791666666667,6.241038333333333,28.448545
QU39,2015-05-21,141,11.987516666666666,5.54654,28.37085666666667
QU39,2015-05-26,146,12.84689,5.875963333333333,28.046243333333333
QU39,2015-05-27,147,12.39205,5.60739,28.287286666666667
QU39,2015-06-03,154,11.758592857142856,4.954042857142857,28.543950000000002
QU39,2015-06-09,160,10.799183333333334,3.9502866666666665,28.6887
QU39,2015-06-15,166,10.413886666666667,3.9925966666666666,29.08049
QU39,2015-06-16,167,10.898056666666667,4.547206666666667,28.701293333333332
QU39,2015-06-17,168,9.910562500000001,3.3666875,29.3543625
QU39,2015-06-22,173,10.3957,3.7531999999999996,29.207050000000002
QU39,2015-06-24,175,13.383686666666666,5.59875,27.98582
QU39,2015-06-30,181,10.439588235294117,3.9528823529411765,24.984070588235294
QU39,2015-07-06,187,10.830483333333333,3.79002,28.939473333333332
QU39,2015-07-07,188,10.15095,3.550678125,26.877903125
QU39,2015-07-16,197,13.140226666666667,4.53282,28.140706666666667
QU39,2015-07-22,203,12.29804,4.374113333333334,28.35367
QU39,2015-07-23,204,11.885593333333333,4.137573333333333,28.382076666666666
QU39,2015-07-28,209,12.893265625,4.5047875,26.595915625
QU39,2015-08-12,224,13.196790322580645,4.685058064516129,27.55291935483871
QU39,2015-08-20,232,11.456523333333333,3.74654,28.769483333333334
QU39,2015-08-25,237,10.78996,3.61602,28.854006666666667
QU39,2015-09-02,245,13.828815625,4.893534375,26.5535625
QU39,2015-09-09,252,14.371012765957447,5.152927659574468,27.907093617021278
QU39,2015-09-10,253,13.79111,4.78021,28.22474
QU39,2015-09-15,258,10.615296666666667,3.20266,29.019066666666667
QU39,2015-09-22,265,12.47647,4.50397,28.776056666666666
QU39,2015-09-25,268,12.886696666666667,4.9549433333333335,28.679706666666668
QU39,2015-09-28,271,11.380743333333333,3.7568633333333334,28.77667
QU39,2015-10-05,278,10.33604,3.27677,28.952326666666668
QU39,2015-10-06,279,10.630624137931035,3.3587310344827586,28.778820689655173
QU39,2015-10-14,287,12.322583333333334,5.064103333333334,28.69705666666667
QU39,2015-10-20,293,11.145913333333333,3.9877533333333335,28.54656333333333
QU39,2015-10-22,295,11.145286666666667,3.98232,28.38646
QU39,2015-10-27,300,10.470046666666667,3.4790616666666665,28.67433
QU39,2015-11-02,306,11.263578947368421,4.888910526315789,28.831894736842106
QU39,2015-11-03,307,11.13146,4.76327,28.89433
QU39,2015-11-10,314,10.70298,4.73846,28.822043333333333
QU39,2015-11-18,322,9.899203333333332,5.112253333333333,28.972853333333333
QU39,2015-11-19,323,9.781586666666668,5.113223333333333,28.97201
QU39,2015-11-20,324,9.57228,5.237643333333334,28.91376
QU39,2015-11-23,327,9.563593333333333,4.405523333333333,28.953689999999998
QU39,2015-11-25,329,9.22837,4.0591333333333335,29.01151
QU39,2015-11-30,334,9.09528,3.7618733333333334,29.201943333333332
QU39,2015-12-11,345,9.308973770491804,5.716881818181818,29.152193442622952
QU39,2015-12-16,350,8.933590163934426,6.626272131147541,28.665162295081966
QU39,2016-01-04,4,7.335255,6.837126666666666,28.544795
QU39,2016-01-05,5,7.572029508196722,6.695459016393443,28.58823442622951
QU39,2016-01-13,13,7.763818032786885,6.3677409836065575,28.706311475409837
QU39,2016-01-19,19,8.308701694915253,6.327394915254238,29.076883050847457
QU39,2016-01-20,20,7.886266666666667,6.539871929824561,28.807363157894738
QU39,2016-01-28,28,8.31463606557377,6.21203,28.77354262295082
QU39,2016-02-02,33,7.995015,6.454484745762712,28.494521666666667
QU39,2016-02-04,35,7.942375,6.97602,28.307158333333334
QU39,2016-02-09,40,7.90780737704918,6.855981967213115,28.238024590163935
QU39,2016-02-16,47,7.969056666666667,NaN,27.642409999999998
QU39,2016-02-22,53,8.040945901639345,7.013008196721311,27.79524262295082
QU39,2016-02-23,54,8.046309836065573,7.046698360655737,27.659295081967212
QU39,2016-03-07,67,8.341252459016394,7.251267213114754,27.09614262295082
QU39,2016-03-15,75,8.265361666666667,6.552615,26.896108333333334
QU39,2016-03-18,78,8.385646703296704,6.8065434065934065,27.138615384615385
QU39,2016-03-21,81,8.59264,5.705586666666667,27.370946666666665
QU39,2016-03-22,82,8.695265,5.684706666666667,27.366658333333334
QU39,2016-03-24,84,8.8666366666666665,5.84652,27.60731
QU39,2016-03-28,88,8.985326666666667,5.24405,28.083650000000002
QU39,2016-03-29,89,8.991816666666667,5.430283333333334,27.866591666666668
QU39,2016-03-30,90,9.127593333333333,5.434136666666666,27.917223333333332
QU39,2016-03-31,91,9.193616666666667,6.24443,27.754096666666666
QU39,2016-04-01,92,9.309113333333332,6.337053333333333,27.826236666666667
